iter	Passed	Remaining
0	160	160084
1	168	84050
2	175	58458
3	182	45418
4	189	37696
5	193	32092
6	199	28358
7	205	25489
8	210	23201
9	216	21420
10	219	19763
11	223	18365
12	227	17288
13	231	16283
14	234	15410
15	238	14688
16	242	13995
17	245	13371
18	249	12869
19	252	12366
20	255	11914
21	258	11511
22	262	11139
23	265	10801
24	270	10531
25	273	10243
26	276	9963
27	280	9729
28	283	9487
29	286	9264
30	290	9084
31	294	8895
32	297	8705
33	300	8542
34	304	8386
35	307	8228
36	311	8105
37	314	7959
38	317	7823
39	321	7710
40	324	7600
41	328	7488
42	331	7379
43	334	7271
44	337	7168
45	340	7070
46	344	6984
47	347	6894
48	350	6805
49	354	6739
50	357	6655
51	360	6578
52	365	6530
53	368	6456
54	371	6384
55	375	6333
56	378	6268
57	381	6203
58	385	6148
59	388	6088
60	391	6027
61	394	5975
62	399	5934
63	401	5878
64	404	5825
65	409	5788
66	412	5744
67	415	5699
68	420	5671
69	423	5625
70	426	5582
71	430	5550
72	433	5507
73	437	5469
74	441	5440
75	444	5404
76	447	5364
77	452	5350
78	455	5313
79	458	5276
80	462	5244
81	465	5211
82	468	5175
83	472	5151
84	475	5118
85	478	5085
86	482	5064
87	485	5033
88	488	5003
89	492	4981
90	495	4953
91	498	4924
92	502	4897
93	505	4876
94	508	4848
95	511	4820
96	515	4799
97	518	4775
98	522	4752
99	526	4739
100	529	4715
101	533	4692
102	537	4677
103	540	4654
104	543	4630
105	547	4613
106	550	4592
107	553	4569
108	556	4548
109	560	4531
110	563	4509
111	565	4487
112	569	4474
113	573	4454
114	576	4435
115	580	4423
116	583	4406
117	586	4387
118	590	4373
119	593	4354
120	596	4336
121	600	4322
122	603	4304
123	606	4287
124	610	4272
125	614	4261
126	617	4242
127	620	4225
128	623	4212
129	627	4196
130	630	4180
131	634	4171
132	637	4156
133	640	4141
134	644	4127
135	647	4111
136	650	4096
137	653	4084
138	657	4073
139	661	4061
140	665	4053
141	668	4040
142	671	4026
143	676	4019
144	679	4005
145	682	3990
146	685	3980
147	691	3979
148	694	3965
149	698	3958
150	701	3946
151	705	3934
152	710	3930
153	713	3919
154	716	3907
155	720	3898
156	723	3886
157	727	3876
158	731	3869
159	735	3859
160	738	3849
161	742	3843
162	746	3834
163	751	3829
164	755	3821
165	758	3811
166	763	3807
167	767	3798
168	771	3791
169	774	3781
170	778	3773
171	781	3763
172	786	3759
173	790	3751
174	794	3743
175	797	3734
176	800	3723
177	805	3719
178	808	3710
179	812	3700
180	816	3695
181	820	3686
182	824	3681
183	829	3677
184	833	3670
185	837	3666
186	841	3658
187	845	3651
188	849	3644
189	853	3638
190	858	3634
191	861	3627
192	865	3620
193	871	3621
194	875	3612
195	879	3606
196	882	3599
197	886	3591
198	890	3585
199	894	3577
200	897	3569
201	903	3567
202	906	3560
203	910	3553
204	914	3547
205	918	3539
206	922	3533
207	926	3525
208	930	3520
209	934	3517
210	938	3509
211	942	3502
212	946	3497
213	950	3490
214	954	3484
215	958	3479
216	962	3471
217	966	3466
218	970	3459
219	973	3452
220	977	3446
221	981	3438
222	984	3430
223	988	3423
224	991	3415
225	994	3407
226	998	3401
227	1002	3392
228	1005	3384
229	1009	3378
230	1012	3370
231	1016	3363
232	1019	3356
233	1023	3350
234	1027	3343
235	1030	3335
236	1033	3327
237	1037	3320
